stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
214363,266,Yenimahalle,,40.9817390460176,28.8810507091285,,http://www.marmaray.gov.tr/,0,,,1
214378,289,Süreyya Plajý,,40.9268299858791,29.1242047148349,,http://www.marmaray.gov.tr,0,,,1
12261,234,Yenikapý,Yenikapý,41.004779309437,28.9495799493274,,http://www.marmaray.gov.tr/icerik/sefer/G%C3%BCnl%C3%BCk-Tren-Saatleri/59,0,,,0
214387,280,Tersane,,40.8609774863764,29.2733636213888,,http://www.marmaray.gov.tr,0,,,1272177,312,Yenimahalle,,41.0838545404984,28.8926872572221,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272182,332,Bahariye,,41.0583950860259,28.7993743237804,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M9,0,,,1
19040,167,Altýyol,Altýyol,40.9897816869318,29.0289672614749,,,0,,,0
272178,313,Karadeniz Mah.,,41.0811903035045,28.8750662124106,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
19070,22,Topçular,Topçular,41.0416319678308,28.9195204853492,,,0,,,0
272186,355,Bostancý,,40.9508865308299,29.0976189809682,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
19036,168,Bahariye,Bahariye,40.9878556649575,29.0285669249365,,,0,,,0
272187,356,Emin Ali Paþa,,40.9605472641736,29.0937084922833,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
272188,357,Ayþe Kadýn,,40.9667774716853,29.0867181509301,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
272191,360,Ýçerenköy,,40.9789845394359,29.1264249060101,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
272190,359,Küçükbakkalköy,,40.978918486515,29.1117414467837,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
272189,358,Kozyataðý,,40.9775015583497,29.0999002371191,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
272194,363,Ýmes,,41.0001481272248,29.1562117563822,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
272172,307,Alibeyköy,,41.0791146520719,28.9496326544121,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272175,310,Yeþilpýnar,,41.0823042033906,28.9183127582142,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272200,340,Yýldýz,,41.054110437965,29.0096778157258,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
19038,173,Kilise,Kilise,40.9860662998144,29.0279014979825,,,0,,,0
94992,263,Ihlamurkuyu,,41.0197580426646,29.1304154538733,,http://www.metro.istanbul,0,,,1
19003,62,Ziya Gökalp Mah.,Ziya Gökalp Mah.,41.0744821901911,28.7865302451425,,,0,,,0
18983,175,Sanayi Mahallesi,Sanayi Mahallesi,41.0942485393645,29.0050972813071,,,0,,,0
19042,230,Eyüp,Eyüp,41.0498484458966,28.9343960298547,,,0,,,0
19000,70,Baðcýlar Meydan,Baðcýlar Meydan,41.034512257638,28.8561035196153,,,0,,,0
272184,334,Ýkitelli Sanayi,,41.0723883035522,28.8022299356406,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M9,0,,,1
272167,317,Mahmutbey,,41.0549034307309,28.8315007415636,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272181,316,Göztepe Mah.,,41.0568370073966,28.8481313919665,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272173,308,Çýrçýr Mah.,,41.0802283123228,28.9362253203942,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272168,303,Mecidiyeköy,,41.0652301997394,28.9953910663261,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272179,314,Tekstilkent - Giyimkent,,41.0714904541811,28.8669783971087,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272180,315,Oruç Reis - Yüzyýl,,41.0628471178965,28.8553800127648,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
87259,249,Altunizade,Altunizade,41.0219544920356,29.0482914336488,,https://www.metro.istanbul/,0,,,1
18964,3,Emniyet - Fatih,Emniyet - Fatih,41.0180878838371,28.9390726953577,,,0,,,0
272171,306,Nurtepe,,41.0797649096915,28.9635421453215,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272170,305,Kaðýthane,,41.0795639496745,28.9733006430688,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272169,304,Çaðlayan,,41.0706569133825,28.980483448202,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272199,341,Fulya,,41.0619944467856,29.0074130114981,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
272174,309,Veysel Karani - Akþemsettin,,41.0796856699043,28.9281017455959,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,0,,,1
18955,189,Taksim,Taksim,41.0367093597346,28.9868020056073,,,0,,,0
18976,41,Göztepe,Göztepe,40.9940377190958,29.0707210328901,,,0,,,0
272183,333,Masko,,41.0640636378475,28.8039976707914,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M9,0,,,1
94995,260,Dudullu,,41.0152649991171,29.1623218174753,,http://www.metro.istanbul,0,,,1
19072,190,Akýncýlar,Akýncýlar,41.0173329144763,28.8710206567902,,,0,,,0
19013,72,Menderes,Menderes,41.042771940903,28.8785139158581,,,0,,,0
272198,367,Huzur,,41.0226344202904,29.159551400444,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
18981,61,Mahmutbey,Mahmutbey,41.0548431261061,28.8305284782751,,,0,,,0
19043,229,Piyerloti,Piyerloti,41.0533171188148,28.9333792133168,,,0,,,0
94901,1,Beyazýt - Kapalýçarþý,Beyazýt - Kapalýçarþý,41.0090300942008,28.9666544105142,,https://www.metro.istanbul/,0,,,0
19033,228,Moda,Moda,40.9839202154875,29.0248236343485,,,0,,,0
19039,171,Damga Sokak,Damga Sokak,40.9870544923473,29.0215289530854,,,0,,,0
18965,182,Bahçelievler,Bahçelievler,40.9953653937984,28.8634453783509,,,0,,,0
94909,179,ÝTÜ - Ayazaða,ÝTÜ - Ayazaða,41.1081033115205,29.0208037521076,,https://www.metro.istanbul/,0,,,0
272193,362,Mevlana,,40.9921564649613,29.1533571203819,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
272192,361,Kayýþdaðý,,40.9846900159072,29.1377306108189,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,0,,,1
19098,223,Sultanahmet,Sultanahmet,41.0080807903255,28.9756364422636,,,0,,,0
19079,11,Tophane,Tophane,41.0269750176827,28.9807794370462,,,0,,,0
19056,21,Demirkapý,Demirkapý,41.0370425949282,28.9233482713514,,,0,,,0
19047,25,Bosna - Çukurçeþme,Bosna - Çukurçeþme,41.0618853647446,28.9020572549817,,,0,,,0
