PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
Bayrampaşa Abdi İpekçi Caddesi 2,Bayrampaşa Abdi İpekçi Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-18:00,BAYRAMPAŞA,28.9120675804557,41.0367913479225
Bayrampaşa Abdi İpekçi Caddesi 5,Bayrampaşa Abdi İpekçi Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-18:00,BAYRAMPAŞA,28.9119276715415,41.0343075331104
Pendik Sahil İdo Açık Otoparkı,Pendik Sahil İd,AÇIK OTOPARK,AÇIK OTOPARK,100,24 Saat,PENDİK,29.2360525373367,40.8754208126874
Meclis-i Mebusan Yokuşu 2,Meclis-i Mebusan Yokuş,YOL ÜSTÜ,YOL ÜSTÜ,30,09:00-18:00,BEYOĞLU,28.9883828811803,41.0323479026334
Kıztaşı Caddesi 1,Kıztaşı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:30-19:00,FATİH,28.950898953995,41.0161540163621
Kıztaşı Caddesi 2,Kıztaşı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:30-19:00,FATİH,28.9505164926743,41.0156996990426
Kasım Sokak 1,Güngören Kasım Soka,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,GÜNGÖREN,28.8856404202596,41.0090357033789
Sabancı Öğretmen Evi Önü 4,Sabancı Öğretmen Evi Ön,YOL ÜSTÜ,YOL ÜSTÜ,27,09:00-20:00,BEYKOZ,29.0659158204735,41.0802467042586
Yeşilköy Marina 1,Yeşilköy Marin,YOL ÜSTÜ,YOL ÜSTÜ,145,08:00-00:00,BAKIRKÖY,28.8231093953212,40.9575323782277
Yeşilköy Marina 2,Yeşilköy Marin,YOL ÜSTÜ,YOL ÜSTÜ,85,12:00-00:00,BAKIRKÖY,28.8223157132699,40.9571367972732
Yeşilköy Marina 8,Yeşilköy Marin,YOL ÜSTÜ,YOL ÜSTÜ,100,08:00-00:00,BAKIRKÖY,28.8212454401269,40.9551893023394
Şişli Kadırgalar Caddesi 1,Şişli Kadırgalar Caddes,YOL ÜSTÜ,YOL ÜSTÜ,100,08:00-00:00,ŞİŞLİ,28.9928388571993,41.0430165649705
Reşitapaşa Caddesi 2,Reşitpaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,08:30-17:30,AVCILAR,28.7182958832553,40.9806119149019
Reşitapaşa Caddesi 3,Reşitpaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,08:30-17:30,AVCILAR,28.7170529967408,40.9808495339875
Öğretmen Evi,Öğretmen Ev,AÇIK OTOPARK,AÇIK OTOPARK,80,24 Saat,AVCILAR,28.7141700769065,40.9722162402043
Gürpınar Yolu Caddesi 5,Gürpınar Yolu Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-18:00,BEYLİKDÜZÜ,28.6272524390684,41.0175083222788
Pendik Ankara Caddesi 1,Pendik Ankara Caddes,YOL ÜSTÜ,YOL ÜSTÜ,26,08:00-19:00,PENDİK,29.235877152468,40.8770379866724
Pendik 23 Nisan Caddesi 2,Pendik 23 Nisan Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-19:00,PENDİK,29.2356051982498,40.8777044044947
Mercan Açık,Mercan Açı,AÇIK OTOPARK,AÇIK OTOPARK,250,24 Saat,FATİH,28.9669545730466,41.0135639487422
Avcılar İdo,Avcılar İd,AÇIK OTOPARK,AÇIK OTOPARK,400,08:00-00:00,AVCILAR,28.7184655666351,40.9712309021757
İ.M.P Önü 1,İ.M.P Ön,AÇIK OTOPARK,AÇIK OTOPARK,200,08:00-05:00,BEYOĞLU,28.9746605563357,41.0317898000128
Kozyatağı Sebze-Meyve Hali,Kozyatağı Sebze-Meyve Hal,AÇIK OTOPARK,AÇIK OTOPARK,1500,24 Saat,ATAŞEHİR,29.1029469575332,40.978484297008
İçerenköy Açık Otoparkı 1,İçerenköy Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,600,24 Saat,ATAŞEHİR,29.1045454144478,40.9765973901075
Fatih Katlı Otoparkı,Fatih Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,118,24 Saat,FATİH,28.9396082449959,41.0197435806677
Büyükçamlıca Korusu Sosyal Tesisleri Önü,Büyük Çamlıca Korusu Sosyal Tesisleri Ön,AÇIK OTOPARK,AÇIK OTOPARK,230,08:00-00:00,ÜSKÜDAR,29.0697805222364,41.0264293643873
Yenikapı İdo Taksi Durağı,Yenikapı İdo Taksi Durağ,TAKSİ PARK,TAKSİ PARK,40,07:00-15:00,FATİH,28.9567286974396,41.0035037300784
Çengelköy Açık Otoparkı,Çengelköy Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,426,24 Saat,ÜSKÜDAR,29.0534689592083,41.0484355994512
Seyrantepe Katlı (Arena Karşısı) 1,Seyrantepe Katlı (Arena Karşısı,KAPALI OTOPARK,KAPALI OTOPARK,2288,24 Saat,KAĞITHANE,28.9958238392616,41.1003970701057
Kalamış Fener Caddesi 3,Kalamış Fener Caddes,YOL ÜSTÜ,YOL ÜSTÜ,14,09:00-19:00,KADIKÖY,29.0389906353271,40.9713100107441
Ortaköy Açık,Ortaköy Açı,AÇIK OTOPARK,AÇIK OTOPARK,200,24 Saat,BEŞİKTAŞ,29.0328891015864,41.0505565333188
Yeşilköy Fener Caddesi 1,Yeşilköy Fener Caddes,YOL ÜSTÜ,YOL ÜSTÜ,62,08:00-00:00,BAKIRKÖY,28.8383866669789,40.9591566955503
Vakıf Gureba 1,Bezmialem Vakıf Üniversitesi Tıp Fakültes,AÇIK OTOPARK,AÇIK OTOPARK,891,24 Saat,FATİH,28.9359039352218,41.0193036255988
Mercan Açık,Mercan Açı,AÇIK OTOPARK,AÇIK OTOPARK,250,08:00-23:00,FATİH,28.9669249484166,41.0135496488887
Hacı Osman Taksi Durağı,Hacı Osman Taksi Durağ,TAKSİ PARK,TAKSİ PARK,11,07:00-23:00,SARIYER,29.0310359120677,41.1401459367951
Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi Önü Taksi Durağı,Marmara Üniversitesi Pendik Eğitim Ve Araştırma Hastanesi Önü Taksi Durağ,TAKSİ PARK,TAKSİ PARK,25,08:00-16:00,PENDİK,29.261385310299,40.8867233210851
Söğütlüçeşme Metrobüs Önü Taksi,Söğütlüçeşme Metrobüs Önü Taksi Durağ,TAKSİ PARK,TAKSİ PARK,50,07:00-22:00,KADIKÖY,29.037807200082,40.9923949144964
Beşiktaş Halk Pazarı 2,Beşiktaş Halk Pazar,KAPALI OTOPARK,KAPALI OTOPARK,200,24 Saat,BEŞİKTAŞ,29.0005231475345,41.0497226732138
Güneş Plajı 2,Güneş Plajı ,AÇIK OTOPARK,AÇIK OTOPARK,1000,08:00-20:00,BAKIRKÖY,28.7868871782099,40.9726998561913
Şehit Volkan Duysak Katlı Otoparkı,Şehit Volkan Duysak Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,1000,24 Saat,ZEYTİNBURNU,28.9042881614357,40.9965469007855
Vatan Caddesi Migros Önü Açık,Vatan Migros Migros Ön,AÇIK OTOPARK,AÇIK OTOPARK,300,24 Saat,FATİH,28.9404453838823,41.0160067137113
Ümraniye Dr. Fazıl Küçük Caddesi 1,Ümraniye Dr. Fazıl Küçük Caddes,YOL ÜSTÜ,YOL ÜSTÜ,24,08:00-17:00,ÜMRANİYE,29.1126836778506,41.027017841635
Cadde Bostan Açık Otoparkı,Caddebostan Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,66,24 Saat,KADIKÖY,29.067484714987,40.9637113280427
Çiroz Yeşilköy Halk Pazarı,Çiroz Yeşilköy Halk Pazar,AÇIK OTOPARK,AÇIK OTOPARK,500,07:00-19:00,BAKIRKÖY,28.8129177050206,40.9628491559778
Gençler Caddesi 1,Gençler Caddes,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-19:00,BAKIRKÖY,28.8693382177047,40.9802074031904
Hacıosman Metro Yer Altı Otoparkı,Hacıosman Metro Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,422,24 Saat,SARIYER,29.0311587123173,41.1402314254014
Kartal Sahil Açık Otoparkı,Kartal Sahil Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,72,24 Saat,KARTAL,29.1901910305023,40.887331455586
Fatih Su Yolu Sokak 3,Fatih Su Yolu Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-22:00,FATİH,28.9536236525008,41.0169435273394
Feshane P+R Açık Otoparkı,Feshane P+R Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,200,24 Saat,EYÜP,28.937658213568,41.0462634409545
Fatih Uzunçarşı Caddesi 1,Fatih Uzun Çarşı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,07:00-18:00,FATİH,28.9674655449747,41.0154166485643
Maslak P+R 1,Maslak P+,AÇIK OTOPARK,AÇIK OTOPARK,150,24 Saat,SARIYER,29.0240537687653,41.116532674841
Beykoz Fevzipaşa Caddesi 1,Beykoz Fevzi Paşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,22,09:00-18:00,BEYKOZ,29.0915854648547,41.1346004332964
Münir Nurettin Selçuk Caddesi 5,Münir Nurettin Selçuk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,09:00-18:00,KADIKÖY,29.0390889901223,40.9799663298909
Münir Nurettin Selçuk Caddesi 6,Münir Nurettin Selçuk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-18:00,KADIKÖY,29.0391678819179,40.9798145995934
Münir Nurettin Selçuk Caddesi 13,Münir Nurettin Selçuk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,09:00-18:00,KADIKÖY,29.0397486433706,40.979135527216
Kadıköy Metro Açık Otoparkı,Kadıköy Metro Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,60,24 Saat,KADIKÖY,29.0216182101664,40.9899183509651
Gazi Umur Paşa Sokak 5,Gazi Umur Paşa Soka,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-18:00,BEŞİKTAŞ,29.0114568326649,41.0590106537782
Sütlüce Miniatürk Yanı 1,Sütlüce Miniatürk Yan,AÇIK OTOPARK,AÇIK OTOPARK,320,24 Saat,BEYOĞLU,28.9499804001294,41.0570907959868
Sütlüce Miniatürk Yanı 2,Sütlüce Miniatürk Yan,AÇIK OTOPARK,AÇIK OTOPARK,320,24 Saat,BEYOĞLU,28.9499257153103,41.0570670441396
4.Levent P+R Açık Otoparkı,4.Levent P+R Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,950,24 Saat,KAĞITHANE,29.0081091758835,41.0835896015817
Fişekhane Caddesi 2,Fişekhane Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-19:00,BAKIRKÖY,28.8700321405274,40.9780745209189
Süleymaniye Cami Altı Açık Otoparkı,Süleymaniye Cami Altı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,250,06:30-19:00,FATİH,28.9608539005372,41.0160491429123
Eyüp İstanbul Caddesi 1,Eyüp İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-19:00,EYÜP,28.8834084558235,41.1793733766854
Eyüp İstanbul Caddesi 3,Eyüp İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-19:00,EYÜP,28.8844409943035,41.1783602003273
Eyüp İstanbul Caddesi 5,Eyüp İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-19:00,EYÜP,28.8901048441369,41.1764864031846
Arda Turan Spor Kompleksi Katlı,Arda Turan Spor Kompleksi Katl,KAPALI OTOPARK,KAPALI OTOPARK,500,24 Saat,BAYRAMPAŞA,28.9061343669891,41.0389017145617
Büyük Karaman - Haydarbey Caddeleri 1,Büyük Karaman - Haydarbey Caddeler,YOL ÜSTÜ,YOL ÜSTÜ,60,08:30-19:00,FATİH,28.9530799370274,41.0161345344917
Tacirhane Sokak 1,Tacirhane Soka,YOL ÜSTÜ,YOL ÜSTÜ,30,07:30-18:00,FATİH,28.9667614064156,41.0142245832163
Alibeyköy Cep Otogarı Açık Otoparkı,Alibeyköy Cep Otogarı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,116,24 Saat,EYÜP,28.9445382356644,41.0877898089066
Alibeyköy Cep Otogarı Açık Otoparkı,Alibeyköy Cep Otogarı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,400,24 Saat,EYÜP,28.944418112968,41.0876029931356
Alibeyköy Cep Otogarı Taksi Durağı,Alibeyköy Cep Otogarı Taksi Durağ,TAKSİ PARK,TAKSİ PARK,20,24 Saat,EYÜP,28.9447433064985,41.0881731777381
Şirinevler Meydan Açık Otoparkı 1,Şirinevler Meydan Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,70,08:00-00:00,BAHÇELİEVLER,28.8494378328323,40.9960143526425
Bahçelievler Hizmet Hastanesi Önü Açık Otoparkı,Bahçeli Evler Hizmet Hastanesi Ön,AÇIK OTOPARK,AÇIK OTOPARK,150,08:00-18:00,BAHÇELİEVLER,28.8798835873604,41.0011359141164
Muallim Naci Açık Otoparkı,Muallim Naci Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,35,24 Saat,BEŞİKTAŞ,29.0341401100159,41.0557660849204
Soğanlık Metro Açık Otoparkı 2,Soğanlık Metro Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,500,24 Saat,KARTAL,29.1926908493042,40.913287585098
Aras Sokak 1,Aras Soka,YOL ÜSTÜ,YOL ÜSTÜ,60,05:45-16:00,BÜYÜKÇEKMECE,28.6223217351186,41.0224907672281
Cevizlibağ Taksi Durağı,Cevizlibağ Taksi Durağ,TAKSİ PARK,TAKSİ PARK,10,07:00-23:00,ZEYTİNBURNU,28.91044852088,41.01678010713
Belgrad Ormanı Bahçeköy Girişi Açık,Belgrad Ormanı Otopark,AÇIK OTOPARK,AÇIK OTOPARK,5000,06:00-20:00,SARIYER,28.9889197599634,41.1833081634424
Haznedar Yer Altı Otoparkı,Haznedar Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,540,24 Saat,GÜNGÖREN,28.8729094095495,41.0083442312323
Maltepe Orhangazi Şehir Parkı Açık Otoparkı 1,Maltepe Orhangazi Şehir Parkı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,2750,24 Saat,MALTEPE,29.1160869598389,40.9313148438186
Yenikapı Spor ve Kültür Merkezi Açık Otoparkı 1,Yenikapı Spor ve Kültür Merkez,AÇIK OTOPARK,AÇIK OTOPARK,1100,24 Saat,FATİH,28.9513778686523,41.0003869358983
Pendik Devlet Hastanesi Açık Otoparkı,Pendik Devlet Hastanesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,124,24 Saat,PENDİK,29.2289006710052,40.8775184689066
Pendik Devlet Hastanesi Açık Otoparkı.,Pendik Devlet Hastanesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,124,24 Saat,PENDİK,29.2288416624069,40.877542805453
Kadıköy Metro Yol Üstü 1,Kadıköy Metro Yol Üst,YOL ÜSTÜ,YOL ÜSTÜ,25,06:30-23:00,KADIKÖY,29.021811656285,40.9904827588532
Harbiye İlkokulu Yer Altı Otoparkı,Harbiye İlkokulu Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,110,24 Saat,ŞİŞLİ,28.9850878715515,41.0445499495558
Şehit Murat Demirci Kapalı Otoparkı,Şehit Murat Demirci Kapalı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,110,24 Saat,ŞİŞLİ,28.994360268116,41.0590587548931
Dudullu Minibüs Depolama Alanı,Dudullu Minibüs Depolama Alanı / C-70 Bostanc,MİNİBÜS PARK,MİNİBÜS PARK,65,07:00-21:00,ÜMRANİYE,29.1608894931117,41.0157632571068
Yenikapı Marmaray Küçük Otoparkı,Yenikapı Marmaray Küçük Otopark,AÇIK OTOPARK,AÇIK OTOPARK,200,07:00-23:00,FATİH,28.9504444599152,41.0063845956061
Dr. Adnan Büyük Deniz Caddesi 13,Dr. Adnan Büyükdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,100,07:45-17:00,ÜMRANİYE,29.1183041371016,41.03293696765
Dr. Adnan Büyük Deniz Caddesi 14,Dr. Adnan Büyükdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,60,07:45-17:00,ÜMRANİYE,29.1193021979309,41.03385978598
