TÜR,MAHAL ADI,İLÇE,latitude,longitude
PARK,EMİRGAN PARKI,SARIYER,41.10762670 , 29.05713201
PARK,HİDAYETİN BAĞI PARKI,SARIYER,41.17199611 , 29.05598121
PARK,ŞEHİT ÇETİN CAN PARKI,SARIYER,41.12350160 , 29.03757334
PARK,İSTİNYE İDO PARKI,SARIYER,41.11387815 , 29.06118091
PARK,JAPON BAHÇESİ PARKI,SARIYER,41.09721334 , 29.05219870
PARK,NADİR NADİ PARKI,SARIYER,41.15250944 , 29.04165566
PARK,POLİGON PARKI,SARIYER,41.11648608 , 29.04118896
PARK,ŞALCIKIR PARKI,SARIYER,41.14209386 , 29.04090070
PARK,YENİKÖY CAMİ PARKI,SARIYER,41.12166090 , 29.06986177
PARK,YENİKÖY PLAJ  PARKI,SARIYER,41.11740751 , 29.06486213
PARK,PINAR MAHALLESİ PARKI,SARIYER,41.12611606 , 29.03180122
PARK,SARIYER HEZARFEN AHMET ÇELEBİ PARKI,SARIYER,41.10256846 , 29.03882485
PARK,FSM PARKI,SARIYER,41.08973994 , 29.04682654
PARK,SARIYER LİSELİLER PARKI,SARIYER,41.16327503 , 29.04923558
PARK,RUMELİ KAVAĞI SAHİL PARKI,SARIYER,41.18128688 , 29.07415020
PARK,PROF.DR. AZİZ SANCAR PARKI,SARIYER,41.10468005 , 29.04602498
PARK,BAŞAKŞEHİR 2.ETAP KORU PARKI,BAŞAKŞEHİR,41.10538900 , 28.78594500
PARK,KAYAŞEHİR  912 ADA PARKI,BAŞAKŞEHİR,41.10885544 , 28.75573754
PARK,BAŞAKŞEHİR ONURKENT PARKI -1,BAŞAKŞEHİR,41.10978507 , 28.78280640
PARK,BAŞAKŞEHİR SPOR PARKI,BAŞAKŞEHİR,41.12401884 , 28.77528548
PARK,GÖÇMEN KONUTLARI PARKI,BAŞAKŞEHİR,41.10188282 , 28.80011201
PARK,KAYAŞEHİR BÖLGE PARKI,BAŞAKŞEHİR,41.11001950 , 28.75622034
PARK,HOŞDERE HAYAT PARKI,BAŞAKŞEHİR,41.09266975 , 28.65003705
PARK,TATARCIK PARKI,BAŞAKŞEHİR,41.10761862 , 28.67122650
PARK,BAŞAKŞEHİR SULAR VADİSİ,BAŞAKŞEHİR,41.11767424 , 28.80728960
PARK,BAŞAKŞEHİR ONURKENT PARKI-2,BAŞAKŞEHİR,41.10798946 , 28.79487500
PARK,HALICIOĞLU PARKI,BEYOĞLU,41.04492621 , 28.94480109
PARK,ŞEHİT ŞEYHMUZ DEMİR PARKI,BEYOĞLU,41.04060918 , 28.95029962
PARK,NURİ KİLLİGİL PARKI,BEYOĞLU,41.05515729 , 28.94781053
PARK,NİLÜFER PARKI,BEYOĞLU,41.06315818 , 28.94850791
PARK,8 MAYIS PARKI ,EYÜPSULTAN,41.04685604 , 28.93693015
PARK,ABDÜLVEDÜT PARKI,EYÜPSULTAN,41.04141839 , 28.93838257
PARK,GABDULLAH TUGAY PARKI ,EYÜPSULTAN,41.06437967 , 28.94292355
PARK,FESHANE PARKI,EYÜPSULTAN,41.04319863 , 28.93841743
PARK,FETHİ ÇELEBİ PARKI,EYÜPSULTAN,41.08394261 , 28.92526388
PARK,HABEŞ PARKI,EYÜPSULTAN,41.03212400 , 28.93679202
PARK,İDRİS BİTLİS PARKI ,EYÜPSULTAN,41.05713940 , 28.93327028
PARK,NURTEPE GEZİ PARKI,EYÜPSULTAN,41.08373437 , 28.96003604
PARK,GÜZELTEPE PARKI,EYÜPSULTAN,41.08075834 , 28.95801902
PARK,Ç. MESKEN - GÖÇMEN BLOKLARI,EYÜPSULTAN,41.08155897 , 28.95928502
PARK,GÖÇMEN BLOKLARI,KAĞITHANE,41.08098478 , 28.95830333
PARK,İGDAŞ PARKI,EYÜPSULTAN,41.07185370 , 28.94378722
PARK,OTAĞCILAR PARKI,EYÜPSULTAN,41.03948234 , 28.93582374
PARK,SİLAHTARAĞA PARKI,EYÜPSULTAN,41.06016504 , 28.94573987
PARK,TEKKE PARKI,EYÜPSULTAN,41.05756413 , 28.94467771
PARK,ÇOBAN ÇEŞME PARKI,EYÜPSULTAN,41.08084730 , 28.95092726
PARK,ÇOBAN ÇEŞME OKUL ÜSTÜ,EYÜPSULTAN,41.08141340 , 28.95390451
PARK,FETİH PARKI,EYÜPSULTAN,41.08441771 , 28.92534435
PARK,ŞEHİT HALİT AYDIN PARKI,EYÜPSULTAN,41.08374650 , 28.94442558
PARK,KUTLU DOĞUM PARKI,EYÜPSULTAN,41.07913683 , 28.93938303
PARK,ŞEHİT HÜSEYİN ÇATALKAŞ PARKI,EYÜPSULTAN,41.08077856 , 28.93959224
PARK,BARIŞ MANÇO PARKI,EYÜPSULTAN,41.08982754 , 28.92673910
PARK,ŞEHİT SONER BAYKUŞ PARKI ,EYÜPSULTAN,41.07838065 , 28.93302619
PARK,ALİBEYKÖY MERKEZ PARKI,EYÜPSULTAN,41.08068758 , 28.94876808
PARK,ASIM YILDIZ PARKI,EYÜPSULTAN,41.08762000 , 28.93678129
PARK,AKŞEMSETTİN PARKI,FATİH,41.03563231 , 28.94768715
PARK,AYVANSARAY SUR DİPLERİ,EYÜPSULTAN,41.03913639 , 28.93984973
PARK,CEMİL MERİÇ GÖRME ÖZÜRLÜLER PARKI,FATİH,41.04086004 , 28.94273043
PARK,BALAT PARKI,FATİH,41.03793467 , 28.94572645
PARK,SOBACILAR ÖNÜ PARKI,FATİH,41.01820626 , 28.96765351
PARK,İTO PARKI,FATİH,41.01902384 , 28.96776080
PARK,ŞEHİT TOLGA ECEBALİN PARKI (ÖZLEM PARKI),FATİH,41.02484376 , 28.95964444
PARK,ŞAİR  NEDİM PARKI,FATİH,41.03073196 , 28.95173728
PARK,MERMERCİLER PARKI,KAĞITHANE,41.06339176 , 28.95085350
PARK,SADABAT MESİRE 1,KAĞITHANE,41.06725129 , 28.95825505
PARK,SADABAT MESİRE 2,KAĞITHANE,41.06834328 , 28.95996094
PARK,SADABAT MESİRE 4,KAĞITHANE,41.06634532 , 28.95394742
PARK,SEYRANTEPE 700. YIL PARKI,KAĞITHANE,41.09735123 , 28.98944914
PARK,KAĞITHANE MESİRE ALANI,KAĞITHANE,41.06431091 , 28.94990802
PARK,ŞEHİT KUBİLAY PARKI,EYÜPSULTAN,41.07723030 , 28.95970362
PARK,EMNİYETTEPE PARKI ,EYÜPSULTAN,41.06589638 , 28.94909263
PARK,İSBAK ÜSTÜ ,EYÜPSULTAN,41.09454562 , 28.98522198
PARK,İSPARK ZEMİNALTI OTOPARK ÜSTÜ,EYÜPSULTAN,41.08500400 , 28.92589688
PARK,ARNAVUTKÖY ZEMİNÜSTÜ PARKI,ARNAVUTKÖY,41.1832821 , 28.73979986
PARK,KOCATEPE PARKI,BAYRAMPAŞA,41.4884245 , 28.8945745
PARK,ORTA MAHALLE FATİH PARKI,BAYRAMPAŞA,41.347386 , 28.91916454
PARK,GAZİ PARKI,SULTANGAZİ,41.955413 , 28.8996977
PARK,CEBECİ PARKI,SULTANGAZİ,41.1356441 , 28.87528896
PARK,ŞEHİT VEDAT BARCEĞCİ PARKI (ÇAMLIK PARKI),SULTANGAZİ,41.887617 , 28.87824476
PARK,ŞEHİT ENGİN TILBAÇ PARKI (PLEVNE PARKI),SULTANGAZİ,41.8797175 , 28.8745515
PARK,BAYRAMPAŞA TUNA CADDESİ PARKI,BAYRAMPAŞA,41.4525999 , 28.94382
PARK,SULTANGAZİ ALİBEY BARAJÜSTÜ PARKI,SULTANGAZİ,41.122345 , 28.91674519
PARK,GAZİOSMANPAŞA MEHMET NİYAZİ ÖZDEMİR ZEMİNÜSTÜ PARKI,GAZİOSMANPAŞA,41.7937137 , 28.885489
PARK,ESENLER HAVAALANI MAHALLESİ ZEMİNÜSTÜ PARKI,ESENLER,41.558269 , 28.86726916
PARK,MİMARSİNAN SAHİL ATATÜRK PARKI,BÜYÜKÇEKMECE,41.1577976424812 , 28.562446832656857
PARK,MİMARSİNAN SAHİL,BÜYÜKÇEKMECE,41.129443536443 , 28.56653151632
PARK,KORDONBOYU SAHİL,BÜYÜKÇEKMECE,41.111552949753 , 28.59925746917724
PARK,AVCILAR KARA TARAFI CEMAL KAYTAZ PARKI,AVCILAR,40.97436 , 28.74126
PARK,AVCILAR SAHİL PARKI-1,AVCILAR,40.97487611 , 28.74357104
PARK,AVCILAR SAHİL PARKI-2,AVCILAR,40.97973608 , 28.75159621
PARK,BEYLİKDÜZÜ OSMANLI BAHÇESİ PARKI,BEYLİKDÜZÜ,40.99819 , 28
PARK,PİRİ REİS PARKI ,BEYLİKDÜZÜ,40.99511146 , 28.59744430
PARK,BEYLİKDÜZÜ KADIN DAYANIŞMA VE KÜLTÜR PARKI,BEYLİKDÜZÜ,40.98486700 , 28.66744459
PARK,BEYLİKDÜZÜ KREŞ EĞİTİM YAPISI VE ÇOCUK OYUN PARKI,BEYLİKDÜZÜ,40.99560947 , 28.62893879
PARK,AVCILAR SAADETDERE DEPO VE TERFİ MERKEZİ ,ESENYURT,41.483 , 28.694722
PARK,KAVAKLIDERE YAŞAM VADİSİ 3.ETAP,BEYLİKDÜZÜ,40.99220025 , 28.64333153
PARK,KAVAKLIDERE YAŞAM VADİSİ 4.ETAP,BEYLİKDÜZÜ,40.97474246 , 28.64518762
PARK,KAVAKLIDERE YAŞAM VADİSİ 5.ETAP,BEYLİKDÜZÜ,40.96304870 , 28.63345027
PARK,BEYLİKDÜZÜ SOSYAL TESİS ve SPOR KOMPLEKSİ (KALEKENT),BEYLİKDÜZÜ,41.00154076 , 28.63648921
PARK,KÜÇÜKÇEKMECE GÖLÜ SAHİL PARKI,AVCILAR,41.00067975 , 28.76689037
PARK,AZERBAYCAN DOSTLUK PARKI,BAĞCILAR,41.04378607 , 28.85507208
PARK,BAĞCILAR TRAFİK EĞİTİM PİSTİ PARKI,BAĞCILAR,41.05044523 , 28.82309065
PARK,BAĞCILAR MERKEZ MAHALLESİ PARKI,BAĞCILAR,41.03060529 , 28.85797608
PARK,ŞEHİT BEKÇİ KANSU TURAN PARKI,BAĞCILAR,41.05658455 , 28.83527261
PARK,BALIKÇI ADASI PARKI,KÜÇÜKÇEKMECE,40.98892738 , 28.77070481
PARK,İSTASYON  MAHALLESİ PARKI,KÜÇÜKÇEKMECE,41.03144138 , 28.77805381
PARK,MENEKŞE DERESİ PARKI,KÜÇÜKÇEKMECE,41.03955850 , 28.77105899
PARK,KÜÇÜKÇEKMECE GÖLAĞZI PARKI,KÜÇÜKÇEKMECE,40.98066136 , 28.77070302
PARK,KÜÇÜKÇEKMECE MENEKŞE PARKI,KÜÇÜKÇEKMECE,40.98207298 , 28.76177280
PARK,KÜÇÜKÇEKMECE SAHİL PARKI,KÜÇÜKÇEKMECE,40.97992796 , 28.75228186
PARK,BAĞCILAR HÜRRİYET MAHALLESİ PAZAR YERİ PARKI ,BAĞCILAR,41.02945608 , 28.83270395
PARK,HASANOĞLU DERESİ PARKI,KÜÇÜKÇEKMECE,41.05683250 , 28.75742158
PARK,SİLİVRİ BOĞLUCA PARKI,SİLİVRİ,41.07972317 , 28.25081706
METRO ÇIKIŞI,NURTEPE ACİL METRO ÇIKIŞI,EYÜPSULTAN,41.07991120 , 28.96331370
METRO ÇIKIŞI,KAĞITHANE METRO ÇIKIŞI,KAĞITHANE,41.07948459 , 28.97404253
METRO ÇIKIŞI,DARÜŞAFAKA METRO İSTASYONU ÇIKIŞI(VE ÇEVRESİ),BEŞİKTAŞ,41.12998705 , 29.02500987
METRO ÇIKIŞI,NİSPETİYE METRO İSTASYONU ÇIKIŞI(VE ÇEVRESİ),BEŞİKTAŞ,41.07731068 , 29.02424902
METRO ÇIKIŞI,HİSARÜSTÜ BOĞAZİÇİ ÜNİVERSİTESİ METRO İSTASYONU ÇIKIŞI (VE ÇEVRESİ),SARIYER,41.08504039 , 29.04538393
METRO ÇIKIŞI,İSTOÇ METRO İSTASYONU,BAĞCILAR,41.06503287 , 28.82595778
METRO ÇIKIŞI,TURGUT ÖZAL METRO İSTASYONU,BAĞCILAR,41.08124964 , 28.79789919
METRO ÇIKIŞI,BAŞAKKONUTLARI METRO İSTASYONU,BAŞAKŞEHİR,41.09747858 , 28.79102200
METRO ÇIKIŞI,METROKENT METRO İSTASYONU,BAŞAKŞEHİR,41.10720431 , 28.80120099
METRO ÇIKIŞI,ZİYA GÖKALP METRO İSTASYONU,BAŞAKŞEHİR,41.07446618 , 28.78731787
METRO ÇIKIŞI,İKİTELLİ SANAYİ METRO İSTASYONU,KÜÇÜKÇEKMECE,41.07302448 , 28.80187824
METRO ÇIKIŞI,GÖZTEPE METRO ÇIKIŞI,BAĞCILAR,41.05672680 , 28.84666443
METRO ÇIKIŞI,ORUÇ REİS METRO ÇIKIŞI (DOĞU-BATI),ESENLER,41.06344738 , 28.85571420
METRO ÇIKIŞI,YÜZYIL ACİL METRO ÇIKIŞI,ESENLER,41.06302875 , 28.85637671
METRO ÇIKIŞI,TEKSTİLKENT METRO ÇIKIŞI,ESENLER,41.07113384 , 28.86685610
METRO ÇIKIŞI,KARADENİZ MAHALLESİ METRO ÇIKIŞLARI,GAZİOSMANPAŞA,41.08134871 , 28.87513876
METRO ÇIKIŞI,YENİ MAHALLE METRO ÇIKIŞI,GAZİOSMANPAŞA,41.08396889 , 28.89268041
METRO ÇIKIŞI,KAZIM KARABEKİR METRO ÇIKIŞI,GAZİOSMANPAŞA,41.08528703 , 28.90881658
METRO ÇIKIŞI,KİRAZLI METRO İSTASYONU ÇEVRESİ,BAĞCILAR,41.03194177 , 28.84257897
METRO ÇIKIŞI,MAHMUTBEY METRO İSTASYONU ÇIKIŞI VE ÇEVRESİ,BAĞCILAR,41.05426031 , 28.83056380
METRO ÇIKIŞI,YENİ MAHALLE METRO İSTASYONU  ÇEVRESİ,BAĞCILAR,41.04117602 , 28.83586876
METRO ÇIKIŞI,AKSARAY METRO İSTASYONU VE ÇEVRESİ,FATİH,41.01145070 , 28.94926429
METRO ÇIKIŞI,ŞİŞLİ MECİDİYEKÖY METRO İSTASYONU,ŞİŞLİ,41.06520072 , 28.99684668
METRO ÇIKIŞI,MECİDİYEKÖY ACİL METRO ÇIKIŞI,ŞİŞLİ,41.06662035 , 28.98989439
KENT ORMANI,15 TEMMUZ KENT ORMANI,EYÜPSULTAN,41.155251174599584 , 28.88812410392055
KENT ORMANI,YAKUPLU B TİPİ MESİRE ALANI,BEYLİKDÜZÜ,41.005 , 28.669
HATIRA ORMANI,ÇATALCA 15 TEMMUZ HATIRA ORMANI,ÇATALCA,41.10822976 , 28.55372858
HATIRA ORMANI, 15 TEMMUZ ŞEHİTLERİ HATIRA ORMANI,SARIYER,41.20765355 , 29.09832001
KORU,HİSARÜSTÜ FATİH KORUSU,SARIYER,41.08904229 , 29.04357212
KORU,SEYRANTEPE KORUSU,KAĞITHANE,41.09102832 , 28.98661137
KORU,HARABELER ÜSTÜ VE SEDİMANTASYON PROJESİ,KAĞITHANE,41.07922984 , 28.97710562
MESİRE YERİ,BENTLER ,SARIYER,41.18530005 , 28.98865955
MESİRE YERİ,NEŞET SUYU,SARIYER,41.18663652 , 28.9679557
MESİRE YERİ,KÖMÜRCÜ BENT,SARIYER,41.20699000 , 28.96359000
MESİRE YERİ,FATİH ÇEŞMESİ,EYÜPSULTAN,41.16931000 , 28.94660000
MESİRE YERİ,NEŞET SUYU TABİAT PARKI BAHÇE KÖY GİRİŞİ BAĞLANTI YOLLARI,SARIYER,41.184159469274576 , 28.988385667181397
MESİRE YERİ,NEŞET SUYU TABİAT PARKI BAHÇE KÖY ÇIKIŞI BAĞLANTI YOLLARI,SARIYER,41.184159469274576 , 28.988385667181397
MESİRE YERİ,NEŞET SUYU TABİAT PARKI  KURT KEMERİ ÇIKIŞI BAĞLANTI YOLLARI,SARIYER,41.19714536110495 , 28.919807487266127
MESİRE YERİ,NEŞET SUYU TABİAT PARKI KÖMÜRCÜ BENT BAĞLANTI YOLLARI,SARIYER,41.189759955932146 , 28.97902610866454
MESİRE YERİ,FALİH RIFKI ATAY TABİAT PARKI,SARIYER,41.192882421197474 , 28.96131495549079
MESİRE YERİ,NEŞET SUYU TABİAT PARKI KOŞU PARKURU,SARIYER,41.18663652 , 28.96795571
MESİRE YERİ,ÇATALCA İNCEĞİZ C TİPİ MESİRE ALANI,ÇATALCA,41.18107971 , 28.39871407
MESİRE YERİ,GÜMÜŞPINAR KÖYKENARI C TİPİ MESİRE ALANI,ÇATALCA,41.31163178 , 28.28323156
KAVŞAK-REFÜJ,ŞENLİKKÖY - YEŞİLYURT ARASI ORTA VE YAN R.,BAKIRKÖY,40.97847252 , 28.80394220
KAVŞAK-REFÜJ,KÜÇÜKÇEKMECE- YEŞİLKÖY ARASI ORTA VE YAN R.,BAKIRKÖY,40.97524062 , 28.77893329
KAVŞAK-REFÜJ,YENİ HAVAALANI CADDESİ,BAKIRKÖY,40.97495526 , 28.83787536
KAVŞAK-REFÜJ,ATAKÖY ORTA VE YAN REFÜJLER,BAKIRKÖY,40.97343260 , 28.84697835
KAVŞAK-REFÜJ,DR.REMZİ KAZANCIGİL BULVARI,BAKIRKÖY,40.98095101 , 28.86159897
KAVŞAK-REFÜJ,FİLDAMI YOLU,BAKIRKÖY,40.98917959 , 28.88537407
KAVŞAK-REFÜJ,İNCİRLİ KAVŞAĞI,BAKIRKÖY,40.99701036 , 28.87008548
KAVŞAK-REFÜJ,İNCİRLİ KAVŞAĞI-ATAKÖY KAVŞAĞI ARASI,BAKIRKÖY,40.99156050 , 28.85149240
KAVŞAK-REFÜJ,ATAKÖY KAVŞAĞI-ÇOBANÇEŞME KAVŞAĞI ARASI,BAKIRKÖY,40.99200590 , 28.83594632
KAVŞAK-REFÜJ,ÇOBANÇEŞME KAVŞAĞI FLORYA KAVŞAĞI ARASI ,KÜÇÜKÇEKMECE,40.99905900 , 28.79970431
KAVŞAK-REFÜJ,FLORYA KAVŞAĞI,KÜÇÜKÇEKMECE / BAKIRKÖY,40.99058061 , 28.79172206
KAVŞAK-REFÜJ,ADNAN KAHVECİ BULVARI ORTA REFÜJ,BAKIRKÖY,40.97882891 , 28.85108471
KAVŞAK-REFÜJ,İSTANBUL CADDESİ,BAKIRKÖY,40.97853181 , 28.87602395
KAVŞAK-REFÜJ,İNCİRLİ CADDESİ,BAKIRKÖY,40.98820411 , 28.87195627
KAVŞAK-REFÜJ,EDİRNEKAPI KAVŞAĞI-VATAN CADDESİ KAVŞAĞI ARASI ORTA VE YAN REFÜJ,BAKIRKÖY,41.02945319 , 28.93378258
KAVŞAK-REFÜJ,ATATÜRK CADDESİ,FATİH,41.01420725 , 28.95407617
KAVŞAK-REFÜJ,EDİRNEKAPI SUR DİPLERİ,FATİH,41.02945319 , 28.93378258
KAVŞAK-REFÜJ,FEVZİPAŞA CADDESİ,FATİH,41.01830745 , 28.94891024
KAVŞAK-REFÜJ,ULUBATLI HASAN KAVŞAĞI,FATİH,41.02573815 , 28.92934620
KAVŞAK-REFÜJ,MİLLET CADDESİ,FATİH,41.01791484 , 28.92798364
KAVŞAK-REFÜJ,VATAN CADDESİ,FATİH,41.02332610 , 28.93138468
KAVŞAK-REFÜJ,VATAN CADDESİ KAVŞAĞI,FATİH,41.02887045 , 28.92463624
KAVŞAK-REFÜJ,10. YIL CADDESİ,ZEYTİNBURNU,41.00624898 , 28.92107964
KAVŞAK-REFÜJ,TOPKAPI KAVŞAĞI VE ÇEVRESİ,ZEYTİNBURNU,41.01891861 , 28.92245293
KAVŞAK-REFÜJ,VATAN CADDESİ KAVŞAĞI-OSMANİYE KAVŞAĞI ARASI ORTA VE YAN REFÜJ,ZEYTİNBURNU,41.01935573 , 28.91628385
KAVŞAK-REFÜJ,OSMANİYE KAVŞAĞI,ZEYTİNBURNU,41.01347056 , 28.90475571
KAVŞAK-REFÜJ,OSMANİYE KAVŞAĞI-İNCİRLİ KAVŞAĞI ARASI ORTA VE YAN REFÜJ,ZEYTİNBURNU,41.00475113 , 28.89363527
KAVŞAK-REFÜJ,SARAYBURNU YENIKAPI ARASI KARA VE SAHİL TARAFI YEŞİL ALANLAR,FATİH,41.00708695 , 28.98551702
KAVŞAK-REFÜJ,YEDİKULE KAVŞAĞI,ZEYTİNBURNU,40.98881110 , 28.91898751
KAVŞAK-REFÜJ,NUR-U OSMANİYE CADDESİ ,FATİH,41.01022824 , 28.97310913
KAVŞAK-REFÜJ,ADNAN MENDERES VATAN BULVARI NO:19 ÖNÜ,FATİH,41.02031091 , 28.93410981
KAVŞAK-REFÜJ,TEM HADIMKÖY KAVŞAK - ÇATALCA KAVŞAK ARASI,ARNAVUTKÖY,41.10439790 , 28.58827972
KAVŞAK-REFÜJ,TEM TAHTAKALE KÖPRÜSÜ - TEM ISPARTAKULE VİYADÜK ARASI,BAŞAKŞEHİR,41.05667664 , 28.71123648
KAVŞAK-REFÜJ,BAHÇEŞEHİR KÖPRÜLÜ KAVŞAĞI,BAŞAKŞEHİR,41.04692562 , 28.69003630
KAVŞAK-REFÜJ,TEM ISPARTAKULE VİYADÜK - TEM AVCILAR KAVŞAK ARASI,BAŞAKŞEHİR / AVCILAR,41.05672195 , 28.68818235
