ilce,mahalle,nufus_yogunlugu,nufus,yuzolcumu,maliyet
BEYLIKDUZU,CUMHURIYET,17975.0,21674,1.2,291000
BEYLIKDUZU,GURPINAR,7737.0,19557,2.5,291000
BEYLIKDUZU,YAKUPLU,5986.0,43962,7.3,291000
BEYLIKDUZU,KAVAKLI,5232.0,27566,5.3,291000
BEYLIKDUZU,MARMARA,4790.0,26537,5.5,291000
BEYLIKDUZU,SAHIL,2894.0,4443,1.5,291000
BEYLIKDUZU,DEREAGZI,1765.0,11644,6.6,291000
BEYOGLU,KADI MEHMET EFENDI,72513.0,10172,0.14,582000
BEYOGLU,KALYONCUKULLUGU,63495.0,3108,0.049,582000
BEYOGLU,YENISEHIR,55422.0,5823,0.11,582000
BEYOGLU,CUKUR,51825.0,2735,0.053,582000
BEYOGLU,KAPTANPASA,48196.0,19818,0.41,582000
BEYOGLU,PIYALEPASA,47589.0,23469,0.49,582000
BEYOGLU,FETIHTEPE,47265.0,15490,0.33,582000
BEYOGLU,KUCUKPIYALE,46560.0,9312,0.2,582000
BEYOGLU,HACIAHMET,45817.0,15383,0.34,582000
BEYOGLU,YAHYA KAHYA,43557.0,3733,0.086,582000
BEYOGLU,SURURI,41497.0,4388,0.11,582000
BEYOGLU,BULBUL,41435.0,3883,0.094,582000
BEYOGLU,KULAKSIZ,41426.0,9706,0.23,582000
BEYOGLU,BOSTAN,39812.0,2468,0.062,582000
BEYOGLU,FIRUZAGA,39618.0,4046,0.1,582000
BEYOGLU,KECECIPIRI,37393.0,14386,0.38,582000
BEYOGLU,HALICIOGLU,33275.0,13274,0.4,582000
BEYOGLU,PIRIPASA,31619.0,15706,0.5,582000
BEYOGLU,CIHANGIR,31069.0,3482,0.11,582000
BEYOGLU,CATMAMESCIT,26839.0,2504,0.093,582000
BEYOGLU,ORNEKTEPE,19564.0,10556,0.54,582000
BEYOGLU,TOMTOM,18950.0,2657,0.14,582000
BEYOGLU,SUTLUCE,18395.0,12474,0.68,582000
BEYOGLU,ISTIKLAL,17438.0,4481,0.26,582000
BEYOGLU,PURTELAS,17346.0,1872,0.11,582000
BEYOGLU,SEHIT MUHTAR,15608.0,1493,0.096,582000
BEYOGLU,HACIMIMI,14808.0,1368,0.092,582000
BEYOGLU,KULOGLU,13778.0,1463,0.11,582000
BEYOGLU,KAMERHATUN,13549.0,886,0.065,582000
BEYOGLU,KOCATEPE,12439.0,2136,0.17,582000
BEYOGLU,KILICALIPASA,10321.0,2476,0.24,582000
BEYOGLU,SAHKULU,10112.0,840,0.083,582000
BEYOGLU,KATIP MUSTAFA CELEBI,9670.0,834,0.086,582000
BEYOGLU,OMERAVNI,8836.0,2092,0.24,582000
BEYOGLU,MUEYYETZADE,7146.0,518,0.072,582000
BEYOGLU,CAMIIKEBIR,6742.0,2854,0.42,582000
BEYOGLU,GUMUSSUYU,6215.0,2109,0.34,582000
BEYOGLU,HUSEYINAGA,5770.0,368,0.064,582000
BEYOGLU,BEREKETZADE,5520.0,405,0.073,582000
BEYOGLU,ASMALIMESCIT,5375.0,463,0.086,582000
BEYOGLU,EVLIYA CELEBI,4451.0,283,0.064,582000
BEYOGLU,BEDRETTIN,3111.0,752,0.24,582000
BEYOGLU,EMEKYEMEZ,1947.0,121,0.062,582000
BEYOGLU,KEMANKES KARA MUSTAFA PASA,905.0,128,0.14,582000
BEYOGLU,ARAPCAMI,583.0,91,0.16,582000
BUYUKCEKMECE,ATATURK,15106.0,18711,1.2,267000
BUYUKCEKMECE,MIMAROBA,13530.0,18376,1.4,267000
BUYUKCEKMECE,DIZDARIYE,11959.0,6987,0.58,267000
BUYUKCEKMECE,FATIH,9822.0,19379,2.0,267000
BUYUKCEKMECE,EKINOBA,9675.0,12040,1.2,267000
BUYUKCEKMECE,SINANOBA,9356.0,14778,1.6,267000
BUYUKCEKMECE,MURATCESME,6430.0,15632,2.4,267000
BUYUKCEKMECE,PINARTEPE,4962.0,18425,3.7,267000
BUYUKCEKMECE,MIMARSINAN,3472.0,8814,2.5,267000
BUYUKCEKMECE,ULUS,3375.0,15732,4.7,267000
BUYUKCEKMECE,CUMHURIYET,3195.0,7553,2.4,267000
BUYUKCEKMECE,HURRIYET,3006.0,20603,6.9,267000
BUYUKCEKMECE,KUMBURGAZ MERKEZ,1711.0,6850,4.0,267000
BUYUKCEKMECE,YENIMAHALLE,1280.0,1986,1.6,267000
BUYUKCEKMECE,TURKOBA,1144.0,13189,11.5,267000
BUYUKCEKMECE,GUZELCE,1141.0,6836,6.0,267000
BUYUKCEKMECE,19 MAYIS,1106.0,8337,7.5,267000
BUYUKCEKMECE,CAKMAKLI,942.0,5137,5.5,267000
BUYUKCEKMECE,ALKENT,712.0,4635,6.5,267000
BUYUKCEKMECE,KAMILOBA,481.0,6800,14.1,267000
BUYUKCEKMECE,BAHCELIEVLER,478.0,3428,7.2,267000
BUYUKCEKMECE,CELALIYE,410.0,5484,13.4,267000
BUYUKCEKMECE,AHMEDIYE,406.0,1233,3.0,267000
BUYUKCEKMECE,KARAAGAC,89.4,2529,28.3,267000
CATALCA,FERHATPASA,829.0,21572,26.0,213000
CATALCA,KALEICI,314.0,7503,23.9,213000
CATALCA,KESTANELIK,228.0,2286,10.0,213000
CATALCA,CANAKCA,208.0,2598,12.5,213000
CATALCA,GOKCEALI,198.0,1812,9.2,213000
CATALCA,OKLALI,190.0,1345,7.1,213000
CATALCA,CAKIL,116.0,2491,21.4,213000
CATALCA,SUBASI,77.4,1444,18.7,213000
CATALCA,KABAKCA,76.3,1624,21.3,213000
CATALCA,MURATBEY MERKEZ,76.2,1409,18.5,213000
CATALCA,CIFTLIKKOY,75.8,1872,24.7,213000
CATALCA,AKALAN,65.1,1085,16.7,213000
CATALCA,OVAYENICE,58.6,1172,20.0,213000
CATALCA,IHSANIYE,49.5,1641,33.2,213000
CATALCA,IZETTIN,44.5,1017,22.9,213000
CATALCA,ORCUNLU,43.7,561,12.8,213000
